Relacionarse;Oír;Hablar;Ver;Caminar;Manos;Aprendizaje;Comervestirsebañarse;cardíacosrespiratorios;SI
9;285;76;1359;871;100;102;4;228;2
9;72;27;216;197;23;37;4;47;0
3;107;26;409;195;30;38;5;84;0
79;1079;264;5074;2618;528;702;49;872;14
57;477;368;2011;1491;213;330;65;228;209
3;50;45;206;140;19;20;10;20;11
2;26;38;246;42;10;8;1;6;651
4;39;29;158;135;24;27;2;38;0
0;60;43;228;150;29;12;1;23;1003
3;36;23;148;80;22;26;4;22;0
3;61;39;250;184;26;26;4;7;31
2;67;28;134;147;15;28;7;19;275
0;26;31;222;87;11;22;3;4;4
3;55;44;146;93;14;18;2;10;14
2;20;34;107;62;7;6;1;8;11
5;58;77;454;280;26;48;9;42;11
8;69;41;310;196;33;38;7;87;20
6;101;239;699;147;33;53;5;58;81
9;88;121;366;255;39;86;14;32;21
5;43;31;107;46;8;14;2;1;11
1;16;31;116;69;9;18;2;10;14
3;33;38;111;120;11;19;1;12;308
4;52;61;166;213;18;18;6;6;130
5;71;70;458;215;32;49;9;33;79
4;36;26;245;137;26;41;10;32;48
0;11;15;38;23;6;0;1;11;5
4;15;24;76;74;10;23;2;13;0
0;56;28;103;75;13;30;2;13;65
3;111;95;387;300;67;53;8;69;40
2;32;13;94;46;21;12;0;18;35
1;21;31;95;175;4;7;5;7;6
21;98;79;495;278;56;73;17;119;101
3;82;70;539;164;29;49;5;45;19
3;73;65;355;187;34;37;8;26;1
185;2324;903;10090;7139;776;1803;141;1450;24
8;182;58;750;608;83;81;6;187;0
5;132;81;657;406;68;105;5;120;1
5;138;89;432;385;59;124;12;55;0
13;207;83;640;610;87;125;10;206;1
1;70;10;247;136;19;21;3;21;1
1;29;18;67;106;11;40;4;12;0
26;270;141;1842;1251;147;200;16;463;1
5;101;32;280;300;38;47;1;52;1
2;48;7;117;103;14;24;5;12;0
33;514;246;2338;1692;241;377;34;599;6
15;260;80;872;749;126;179;15;216;0
18;146;59;462;406;55;56;15;78;0
4;72;34;181;194;25;34;3;51;0
5;89;37;255;193;43;47;1;84;3
21;415;151;1479;1084;182;244;20;308;2
6;72;45;202;159;35;68;10;50;0
25;631;218;1927;1715;248;300;20;610;3
4;91;28;308;168;32;52;3;33;1
6;116;55;623;446;55;50;11;110;2
3;103;21;320;242;21;63;7;47;5
13;296;83;1589;803;104;139;16;198;0
5;166;53;792;498;67;67;6;264;1
11;114;46;423;303;45;57;2;72;5
70;931;331;3394;2493;371;452;59;692;2
14;197;70;524;533;77;138;8;99;0
7;131;62;628;481;54;82;44;158;2
21;497;133;1880;1080;176;214;16;475;3
14;156;53;713;412;56;67;3;171;0
5;111;65;425;337;53;58;6;148;0
5;164;75;516;399;67;67;10;83;1
7;163;43;846;421;52;80;8;143;0
1;108;49;189;230;25;34;10;31;0
5;62;30;154;131;15;39;3;34;0
5;280;98;1154;895;138;173;8;357;3
1;133;30;308;320;34;57;6;78;0
2;43;25;164;145;20;27;6;51;0
61;570;345;2131;1472;244;440;74;417;21
1;69;52;385;229;30;33;6;87;2
5;80;72;275;206;43;54;5;99;0
8;135;95;809;523;39;69;9;250;106
4;74;47;178;123;16;41;8;44;1
2;44;22;227;148;18;27;7;127;0
9;143;109;461;402;67;147;18;97;1
11;61;49;243;116;22;30;2;25;0
1;29;17;130;66;10;20;1;33;1
52;335;358;1677;1050;145;292;59;390;14
9;83;104;247;123;31;35;16;46;0
21;400;163;1609;1002;117;275;37;329;1
34;378;120;482;232;61;239;79;83;19
8;54;35;199;140;19;35;3;18;0
12;99;55;418;301;35;113;7;89;2
249;1535;950;7048;5944;848;1631;169;1466;143
4;57;62;342;280;49;46;4;49;0
16;80;73;253;327;64;96;15;68;2
10;57;46;166;134;21;69;8;23;4
6;58;25;197;99;14;24;1;29;0
3;36;29;118;68;9;14;9;41;0
71;325;269;1472;1675;267;562;55;552;7
8;34;36;119;98;9;42;7;18;1
51;390;299;3201;1742;263;355;30;690;3
3;63;57;528;295;42;90;11;67;0
8;29;41;133;176;24;50;16;60;0
39;175;148;720;619;117;254;26;163;6
13;92;71;523;436;29;141;22;124;0
9;15;36;94;58;10;14;1;16;0
