Fecha;RENTABILIDAD
20.03.2020;9
18.03.2020;8,87
17.03.2020;8,3
16.03.2020;8,8
14.03.2020;8,15
13.03.2020;8,15
12.03.2020;8,3
11.03.2020;7,25
10.03.2020;6,84
09.03.2020;6,767
08.03.2020;6,157
07.03.2020;6,157
06.03.2020;6,157
05.03.2020;6,012
04.03.2020;5,9
03.03.2020;6,08
02.03.2020;6,177
28.02.2020;6,247
27.02.2020;6,12
26.02.2020;5,98
25.02.2020;5,939
24.02.2020;5,947
21.02.2020;5,979
20.02.2020;6
19.02.2020;6,02
18.02.2020;5,951
17.02.2020;5,924
16.02.2020;5,95
14.02.2020;5,95
13.02.2020;6
12.02.2020;5,979
11.02.2020;5,97
10.02.2020;5,99
07.02.2020;6,031
06.02.2020;6,005
05.02.2020;6,042
04.02.2020;6,08
03.02.2020;6,025
31.01.2020;5,995
30.01.2020;6,09
29.01.2020;6,075
28.01.2020;6,115
27.01.2020;6,15
24.01.2020;6,074
23.01.2020;6,145
22.01.2020;6,15
21.01.2020;6,22
20.01.2020;6,225
17.01.2020;6,2
16.01.2020;6,225
15.01.2020;6,25
14.01.2020;6,28
13.01.2020;6,27
10.01.2020;6,23
09.01.2020;6,283
08.01.2020;6,391
07.01.2020;6,46
03.01.2020;6,5
02.01.2020;6,5
27.12.2019;6,453
26.12.2019;6,47
23.12.2019;6,428
20.12.2019;6,455
19.12.2019;6,499
18.12.2019;6,445
17.12.2019;6,443
16.12.2019;6,45
13.12.2019;6,44
12.12.2019;6,375
11.12.2019;6,365
10.12.2019;6,444
09.12.2019;6,411
06.12.2019;6,4
05.12.2019;6,4
04.12.2019;6,48
03.12.2019;6,58
02.12.2019;6,615
29.11.2019;6,628
28.11.2019;6,64
27.11.2019;6,651
26.11.2019;6,715
25.11.2019;6,625
22.11.2019;6,48
21.11.2019;6,417
20.11.2019;6,422
19.11.2019;6,47
18.11.2019;6,455
15.11.2019;6,4
14.11.2019;6,435
13.11.2019;6,476
12.11.2019;6,47
08.11.2019;6,334
07.11.2019;6,3
06.11.2019;6,23
05.11.2019;6,236
01.11.2019;6,18
31.10.2019;6,15
30.10.2019;6,24
29.10.2019;6,199
28.10.2019;6,133
25.10.2019;6,15
24.10.2019;6,14
23.10.2019;6,244
22.10.2019;6,261
21.10.2019;6,22
18.10.2019;6,19
17.10.2019;6,195
16.10.2019;6,261
15.10.2019;6,225
11.10.2019;6,18
10.10.2019;6,175
09.10.2019;6,112
08.10.2019;6,121
07.10.2019;6,145
04.10.2019;6,11
03.10.2019;6,13
02.10.2019;6,14
01.10.2019;6,142
30.09.2019;6,149
27.09.2019;6,129
26.09.2019;6,117
25.09.2019;6,12
24.09.2019;6,099
23.09.2019;6,114
20.09.2019;6,15
19.09.2019;6,141
18.09.2019;6,166
17.09.2019;6,19
16.09.2019;6,17
13.09.2019;6,21
12.09.2019;6,185
