BVC;CANACOL;ISA;GRUBOLIVAR;PFDAVVNDA;ECOPETROL;PFBCOLOM;BCOLOMBIA;COLCAP
8700;48000;9740;53000;29280;1275;27800;25600;1335
8800;48450;9660;57000;28940;1310;27820;25500;1341
8800;48500;9720;57000;28980;1325;27640;25500;1343
9100;48850;9790;57000;29460;1315;28060;25900;1348
9100;49150;9740;57000;29460;1340;27800;25700;1350
18;49350;9850;57000;29880;1325;28180;26020;1358
9100;49350;9840;57000;29940;1315;28040;26140;1355
9000;49600;9820;57000;29520;1325;28280;26140;1354
18;50700;9900;51300;29620;1315;28100;26140;1346
18;50400;9930;53980;29640;1345;28300;26120;1356
9100;50900;9930;52000;29800;1370;28460;26400;1364
9150;51000;9930;52000;30000;1340;28600;26560;1361
9250;50500;9940;52000;30160;1345;28660;26680;1363
9200;49800;9900;50000;30080;1340;28660;26580;1359
9100;48650;9960;50000;30060;1330;28440;26640;1357
9200;48850;9970;50000;30400;1335;28540;26560;1357
18;47650;10000;50000;30740;1340;28500;26500;1360
9150;47650;10000;50000;30800;1315;28600;26500;1361
8950;47150;9990;50000;30600;1310;28540;26500;1366
9000;47500;10060;50000;30900;1330;29140;27100;1371
9100;47500;10160;50000;30700;1310;29060;27100;1368
9000;47600;10200;50000;30420;1300;29060;27100;1356
9050;48200;10100;50000;30820;1300;28520;26540;1346
9100;46800;10160;50000;31000;1310;28680;26880;1355
9200;48000;10240;50000;30960;1325;28380;26460;1355
9200;48700;9940;50000;29800;1280;27520;25600;1320
9200;52300;9800;50000;29200;1270;27140;25400;1299
18;52400;9740;50000;29340;1295;26860;25280;1297
9350;51900;9820;50000;28600;1275;26900;25160;1300
9350;51900;9950;50000;29000;1280;26820;25220;1306
9350;51900;9930;50000;28900;1280;26820;25180;1307
9350;52400;9950;50000;29000;1315;26500;25100;1313
9450;52400;9950;50000;29200;1315;26120;24780;1307
9450;55200;9990;51000;28980;1300;26500;25000;1309
19;55200;9940;51000;28900;1300;26400;25000;1309
9400;54400;9940;51000;28940;1290;26140;24880;1296
9600;53200;9950;51000;28900;1285;25900;24580;1290
9600;51000;9900;51000;28520;1240;25640;24200;1271
9750;51700;9900;51000;28660;1320;26000;24900;1286
10050;52300;10000;51800;28960;1325;26320;24880;1297
10050;52600;10100;51000;29060;1320;26600;24980;1307
10200;53200;10160;51000;29200;1315;26820;24840;1315
10050;52100;10200;51000;29300;1315;26860;24860;1317
10350;52500;10260;51000;29300;1305;26820;24960;1314
10450;53600;10180;51000;29100;1320;26980;25080;1325
10550;53300;10060;51000;29600;1345;27000;25000;1323
10250;52000;10060;51000;29600;1350;27300;25040;1335
10200;50900;9970;50000;29700;1340;26900;25060;1326
10250;51000;9960;50000;30000;1350;27800;25700;1340
10500;51300;9980;50000;29760;1380;27680;25840;1342
21;50200;9970;51000;30000;1385;27240;25460;1340
10500;49750;9980;51000;29700;1385;27100;25380;1346
10500;50200;9900;51000;29700;1380;26980;25200;1342
10550;50100;9850;51000;29800;1355;27200;25300;1340
10600;50000;9820;51000;29900;1335;26940;25300;1330
10600;50000;9840;51000;29920;1355;27180;25300;1341
10600;51000;9910;51000;29880;1365;26920;25140;1339
10650;49850;9980;51000;29920;1380;27460;25480;1354
10850;49900;9980;52000;30000;1380;27180;25220;1352
22;49900;9930;52000;29840;1360;27120;25400;1346
10550;49800;9960;51000;30720;1380;27640;25500;1355
10750;50400;10080;50000;31120;1400;27860;25700;1373
10750;49800;10140;50000;31300;1415;27840;25700;1378
10850;49850;10180;51000;31300;1395;27840;25700;1374
11000;48750;10140;51000;30640;1390;28280;26000;1373
11100;49400;10120;51000;30640;1410;28380;25980;1375
11100;49000;10100;51000;30680;1400;28180;25860;1370
11100;48650;10120;51000;30660;1405;27920;25880;1370
11100;48750;10060;51000;30580;1400;27700;25640;1361
11100;47750;10080;51000;30500;1400;27720;25620;1361
10850;47000;10160;52500;30600;1390;27840;25420;1361
10950;46400;10140;52500;30520;1395;27660;25460;1360
10900;46300;10140;52500;30900;1385;27660;25460;1354
10800;45750;10140;52500;31080;1400;27660;25500;1355
10850;46150;10200;52500;31500;1400;27740;25540;1367
10950;46350;10260;52500;31600;1385;27780;25500;1365
11000;46000;10400;51000;31420;1390;28160;25700;1371
10950;45000;10520;52000;31780;1390;27780;25520;1373
